Inorganic phosphor,Host,1st dopant,1st dopant valency,1st doping concentration,Temp. (K),Emission max. (nm),Excitation source ,Reference,MP-ID,ICSD-ID,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,electronegativity_diff_ratio,radius_mismatch,electron_density,mass_to_charge,ionic_radius_emission_center,EN_ligand_avg,ionic_radius_substituted,avg_ionic_radius_host,avg_EN_host,avg_atomic_number_host,avg_group_host,avg_s_electrons,avg_p_electrons,avg_d_electrons,avg_f_electrons
Ba2Bi0.95V3O11Eu0.05,Ba2Bi0.95V3O11,Eu,3,0.05,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.648967552,0.056047198,0.592920354,170,83,8,75,413.2483,208.9804,15.9994,192.981,5.7,2.15,0.6,1.55,7.98,3.44,0.89,2.55,12,4,2,2,32.8614226,13.618055,5.2116646,8.4063904,0.319548872,0.271929824,2.105263154,2.430872353,1.087,3.44,1.035,1.189129794,2.739174041,20.52212389,12.34513274,6.100294985,9.064896755,4.572271386,0.784660767
Ba2Bi0.8V3O11Eu0.2,Ba2Bi0.8V3O11,Eu,3,0.2,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.654761905,0.047619048,0.607142857,170,83,8,75,413.2483,208.9804,15.9994,192.981,5.7,2.15,0.6,1.55,7.98,3.44,0.89,2.55,12,4,2,2,32.8614226,13.618055,5.2116646,8.4063904,0.319548872,0.271929824,2.105263154,2.430872353,1.087,3.44,1.035,1.190505952,2.745595238,19.96428571,12.32142857,6.047619048,8.904761905,4.345238095,0.666666667
Ba2Bi0.6V3O11Eu0.4,Ba2Bi0.6V3O11,Eu,3,0.4,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.662650602,0.036144578,0.626506024,170,83,8,75,413.2483,208.9804,15.9994,192.981,5.7,2.15,0.6,1.55,7.98,3.44,0.89,2.55,12,4,2,2,32.8614226,13.618055,5.2116646,8.4063904,0.319548872,0.271929824,2.105263154,2.430872353,1.087,3.44,1.035,1.192379518,2.754337349,19.20481928,12.28915663,5.975903614,8.686746988,4.036144578,0.506024096
Ba2Bi0.4V3O11Eu0.6,Ba2Bi0.4V3O11,Eu,3,0.6,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.670731707,0.024390244,0.646341463,170,83,8,75,413.2483,208.9804,15.9994,192.981,5.7,2.15,0.6,1.55,7.98,3.44,0.89,2.55,12,4,2,2,32.8614226,13.618055,5.2116646,8.4063904,0.319548872,0.271929824,2.105263154,2.430872353,1.087,3.44,1.035,1.19429878,2.763292683,18.42682927,12.25609756,5.902439024,8.463414634,3.719512195,0.341463415
Ba2Bi0.2V3O11Eu0.8,Ba2Bi0.2V3O11,Eu,3,0.8,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.679012346,0.012345679,0.666666667,170,83,8,75,413.2483,208.9804,15.9994,192.981,5.7,2.15,0.6,1.55,7.98,3.44,0.89,2.55,12,4,2,2,32.8614226,13.618055,5.2116646,8.4063904,0.319548872,0.271929824,2.105263154,2.430872353,1.087,3.44,1.035,1.196265432,2.772469136,17.62962963,12.22222222,5.827160494,8.234567901,3.395061728,0.172839506
Ba2V3O11Eu1,Ba2V3O11,Eu,3,1,298,619,394,https://doi.org/10.1016/j.dyepig.2016.04.052,mp-559941 , icsd-78156,0.6875,0.125,0.5625,87,56,8,48,204.2679,137.327,15.9994,121.3276,4.1,2.15,0.6,1.55,5.96,3.44,0.89,2.55,9,4,2,2,25.5759066,13.618055,5.2116646,8.4063904,0.427852348,0.37804878,2.195121946,2.347906896,1.087,3.44,0.7775,1.19828125,2.781875,16.8125,12.1875,5.75,8,3.0625,0
CaLa0.98B7O13Eu0.02,CaLa0.98B7O13,Eu,3,0.02,298,613,395,https://doi.org/10.1016/j.ijleo.2017.10.161,,,0.59144677,0.044585987,0.546860783,90,57,5,52,205.79387,138.90547,10.811,128.09447,5.2,1.95,0.6,1.35,7.58,3.44,1,2.44,8,4,1,3,33.60612947,13.618055,5.5769,8.041155,0.321899736,0.259615384,1.538461536,2.286598555,1.087,3.44,1.14,0.979916288,2.778798908,9.775250227,13.82802548,4.53867152,4.300272975,0.936305732,0
CaLa0.92B7O13Eu0.08,CaLa0.92B7O13,Eu,3,0.08,298,613,395,https://doi.org/10.1016/j.ijleo.2017.10.161,,,0.593065693,0.041970803,0.551094891,90,57,5,52,205.79387,138.90547,10.811,128.09447,5.2,1.95,0.6,1.35,7.58,3.44,1,2.44,8,4,1,3,33.60612947,13.618055,5.5769,8.041155,0.321899736,0.259615384,1.538461536,2.286598555,1.087,3.44,1.14,0.979390511,2.783394161,9.645985401,13.85766423,4.518248175,4.246350365,0.881386861,0
CaLa0.85B7O13Eu0.15,CaLa0.85B7O13,Eu,3,0.15,298,613,395,https://doi.org/10.1016/j.ijleo.2017.10.161,,,0.594965675,0.038901602,0.556064073,90,57,5,52,205.79387,138.90547,10.811,128.09447,5.2,1.95,0.6,1.35,7.58,3.44,1,2.44,8,4,1,3,33.60612947,13.618055,5.5769,8.041155,0.321899736,0.259615384,1.538461536,2.286598555,1.087,3.44,1.14,0.978773455,2.788787185,9.494279176,13.89244851,4.494279176,4.183066362,0.816933638,0
CaLa0.65B7O13Eu0.35,CaLa0.65B7O13,Eu,3,0.35,298,613,395,https://doi.org/10.1016/j.ijleo.2017.10.161,,,0.600461894,0.030023095,0.570438799,90,57,5,52,205.79387,138.90547,10.811,128.09447,5.2,1.95,0.6,1.35,7.58,3.44,1,2.44,8,4,1,3,33.60612947,13.618055,5.5769,8.041155,0.321899736,0.259615384,1.538461536,2.286598555,1.087,3.44,1.14,0.976988453,2.804387991,9.055427252,13.99307159,4.424942263,4,0.630484988,0
CaLa0.55B7O13Eu0.45,CaLa0.55B7O13,Eu,3,0.45,298,613,395,https://doi.org/10.1016/j.ijleo.2017.10.161,,,0.60324826,0.025522042,0.577726218,90,57,5,52,205.79387,138.90547,10.811,128.09447,5.2,1.95,0.6,1.35,7.58,3.44,1,2.44,8,4,1,3,33.60612947,13.618055,5.5769,8.041155,0.321899736,0.259615384,1.538461536,2.286598555,1.087,3.44,1.14,0.976083527,2.812296984,8.832946636,14.04408353,4.389791183,3.907192575,0.535962877,0
CaLa0.45B7O13Eu0.55,CaLa0.45B7O13,Eu,3,0.55,298,613,395,https://doi.org/10.1016/j.ijleo.2017.10.161,,,0.606060606,0.020979021,0.585081585,90,57,5,52,205.79387,138.90547,10.811,128.09447,5.2,1.95,0.6,1.35,7.58,3.44,1,2.44,8,4,1,3,33.60612947,13.618055,5.5769,8.041155,0.321899736,0.259615384,1.538461536,2.286598555,1.087,3.44,1.14,0.975170163,2.82027972,8.608391608,14.0955711,4.354312354,3.813519814,0.440559441,0
Sr8ZnScP7O28Tb0.02,Sr8ZnScP7O28,Tb,3,0.02,298,546,370,https://doi.org/10.1039/C8TC03515F,,,0.622222222,0.022222222,0.6,112,38,8,30,244.958074,87.62,15.9994,71.6206,6.55,2,0.6,1.4,9.59,3.44,0.95,2.49,20,10,1,9,45.75529545,13.618055,5.69486745,7.92318755,0.259645464,0.213740458,3.05343511,2.187125661,1.063,2.815,0.885,1.143444444,2.716888889,15.2,12.97777778,5.555555556,7.622222222,2.022222222,0
Sr8ZnScP7O28Tb0.06,Sr8ZnScP7O28,Tb,3,0.06,298,546,370,https://doi.org/10.1039/C8TC03515F,,,0.622222222,0.022222222,0.6,112,38,8,30,244.958074,87.62,15.9994,71.6206,6.55,2,0.6,1.4,9.59,3.44,0.95,2.49,20,10,1,9,45.75529545,13.618055,5.69486745,7.92318755,0.259645464,0.213740458,3.05343511,2.187125661,1.063,2.815,0.885,1.143444444,2.716888889,15.2,12.97777778,5.555555556,7.622222222,2.022222222,0
Sr8ZnScP7O28Tb0.1,Sr8ZnScP7O28,Tb,3,0.1,298,546,370,https://doi.org/10.1039/C8TC03515F,,,0.622222222,0.022222222,0.6,112,38,8,30,244.958074,87.62,15.9994,71.6206,6.55,2,0.6,1.4,9.59,3.44,0.95,2.49,20,10,1,9,45.75529545,13.618055,5.69486745,7.92318755,0.259645464,0.213740458,3.05343511,2.187125661,1.063,2.815,0.885,1.143444444,2.716888889,15.2,12.97777778,5.555555556,7.622222222,2.022222222,0
Sr8ZnScP7O28Tb0.12,Sr8ZnScP7O28,Tb,3,0.12,298,546,370,https://doi.org/10.1039/C8TC03515F,,,0.622222222,0.022222222,0.6,112,38,8,30,244.958074,87.62,15.9994,71.6206,6.55,2,0.6,1.4,9.59,3.44,0.95,2.49,20,10,1,9,45.75529545,13.618055,5.69486745,7.92318755,0.259645464,0.213740458,3.05343511,2.187125661,1.063,2.815,0.885,1.143444444,2.716888889,15.2,12.97777778,5.555555556,7.622222222,2.022222222,0
Sr8ZnScP7O28Tb0.14,Sr8ZnScP7O28,Tb,3,0.14,298,546,370,https://doi.org/10.1039/C8TC03515F,,,0.622222222,0.022222222,0.6,112,38,8,30,244.958074,87.62,15.9994,71.6206,6.55,2,0.6,1.4,9.59,3.44,0.95,2.49,20,10,1,9,45.75529545,13.618055,5.69486745,7.92318755,0.259645464,0.213740458,3.05343511,2.187125661,1.063,2.815,0.885,1.143444444,2.716888889,15.2,12.97777778,5.555555556,7.622222222,2.022222222,0
Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,2,0.01,298,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.600600601,0.1001001,0.500500501,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100940941,2.66973974,10.7997998,12.31131131,4.84984985,5.84984985,0.1001001,0
Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,2,0.01,323,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.600600601,0.1001001,0.500500501,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100940941,2.66973974,10.7997998,12.31131131,4.84984985,5.84984985,0.1001001,0
Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,2,0.01,373,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.600600601,0.1001001,0.500500501,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100940941,2.66973974,10.7997998,12.31131131,4.84984985,5.84984985,0.1001001,0
Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,2,0.01,423,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.600600601,0.1001001,0.500500501,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100940941,2.66973974,10.7997998,12.31131131,4.84984985,5.84984985,0.1001001,0
Na2.98Sc2P3O12Eu0.01,Na2.98Sc2P3O12,Eu,2,0.01,473,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.600600601,0.1001001,0.500500501,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100940941,2.66973974,10.7997998,12.31131131,4.84984985,5.84984985,0.1001001,0
Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,2,0.03,298,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.601805416,0.100300903,0.501504514,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100822467,2.673229689,10.79939819,12.33400201,4.849548646,5.849548646,0.100300903,0
Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,2,0.03,323,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.601805416,0.100300903,0.501504514,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100822467,2.673229689,10.79939819,12.33400201,4.849548646,5.849548646,0.100300903,0
Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,2,0.03,373,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.601805416,0.100300903,0.501504514,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100822467,2.673229689,10.79939819,12.33400201,4.849548646,5.849548646,0.100300903,0
Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,2,0.03,423,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.601805416,0.100300903,0.501504514,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100822467,2.673229689,10.79939819,12.33400201,4.849548646,5.849548646,0.100300903,0
Na2.94Sc2P3O12Eu0.03,Na2.94Sc2P3O12,Eu,2,0.03,473,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.601805416,0.100300903,0.501504514,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100822467,2.673229689,10.79939819,12.33400201,4.849548646,5.849548646,0.100300903,0
Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,2,0.07,298,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.604229607,0.100704935,0.503524673,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100584089,2.680251762,10.79859013,12.3796576,4.848942598,5.848942598,0.100704935,0
Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,2,0.07,323,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.604229607,0.100704935,0.503524673,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100584089,2.680251762,10.79859013,12.3796576,4.848942598,5.848942598,0.100704935,0
Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,2,0.07,373,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.604229607,0.100704935,0.503524673,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100584089,2.680251762,10.79859013,12.3796576,4.848942598,5.848942598,0.100704935,0
Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,2,0.07,423,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.604229607,0.100704935,0.503524673,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100584089,2.680251762,10.79859013,12.3796576,4.848942598,5.848942598,0.100704935,0
Na2.86Sc2P3O12Eu0.07,Na2.86Sc2P3O12,Eu,2,0.07,473,453,370,https://doi.org/10.1038/nmat4843,"mp-16956, mp-1221280, mp-555608", icsd-65406 icsd-20740,0.604229607,0.100704935,0.503524673,55,21,8,13,114.9188433,44.955912,15.9994,28.956512,5,1.8,0.6,1.2,7.92,3.44,0.93,2.51,9,4,1,3,35.80530796,13.618055,5.13907696,8.47897804,0.316919192,0.24,1.799999996,2.089433514,1.31,2.815,1.16,1.100584089,2.680251762,10.79859013,12.3796576,4.848942598,5.848942598,0.100704935,0
Ba3YAl2O7.5Ce0.03,Ba3YAl2O7.5,Ce,3,0.03,298,478,330,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,0.555555556,0.074074074,0.481481481,116,56,8,48,269.2137886,137.327,15.9994,121.3276,5.8,2.15,0.6,1.55,7.16,3.44,0.89,2.55,8,4,1,3,31.0327486,13.618055,5.2116646,8.4063904,0.356145251,0.267241379,1.379310342,2.320808522,1.15,3.44,1.04,1.208148148,2.437777778,21.7037037,11.48148148,6.518518519,9.925925926,5.259259259,0
Ba3YAl2O7.5Ce0.03,Ba3YAl2O7.5,Ce,3,0.03,298,478,375,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,0.555555556,0.074074074,0.481481481,116,56,8,48,269.2137886,137.327,15.9994,121.3276,5.8,2.15,0.6,1.55,7.16,3.44,0.89,2.55,8,4,1,3,31.0327486,13.618055,5.2116646,8.4063904,0.356145251,0.267241379,1.379310342,2.320808522,1.15,3.44,1.04,1.208148148,2.437777778,21.7037037,11.48148148,6.518518519,9.925925926,5.259259259,0
Ba3Y0.9Lu0.1Al2O7.5Ce0.03,Ba3Y0.9Lu0.1Al2O7.5,Ce,3,0.03,298,478,375,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,0.555555556,0.007407407,0.548148148,187,71,8,63,444.1807886,174.967,15.9994,158.9676,7.55,2.15,0.6,1.55,8.43,3.44,0.89,2.55,9,4,1,3,36.4586196,13.618055,5.2116646,8.4063904,0.302491103,0.205298013,1.192052979,2.375298335,1.15,3.44,1.04,1.207859259,2.438148148,21.94074074,11.48148148,6.533333333,9.97037037,5.333333333,0.103703704
Ba3Y0.8Lu0.2Al2O7.5Ce0.03,Ba3Y0.8Lu0.2Al2O7.5,Ce,3,0.03,298,481,375,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,0.555555556,0.014814815,0.540740741,187,71,8,63,444.1807886,174.967,15.9994,158.9676,7.55,2.15,0.6,1.55,8.43,3.44,0.89,2.55,9,4,1,3,36.4586196,13.618055,5.2116646,8.4063904,0.302491103,0.205298013,1.192052979,2.375298335,1.15,3.44,1.04,1.20757037,2.438518519,22.17777778,11.48148148,6.548148148,10.01481481,5.407407407,0.207407407
Ba3Y0.7Lu0.3Al2O7.5Ce0.03,Ba3Y0.7Lu0.3Al2O7.5,Ce,3,0.03,298,485,375,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,0.555555556,0.022222222,0.533333333,187,71,8,63,444.1807886,174.967,15.9994,158.9676,7.55,2.15,0.6,1.55,8.43,3.44,0.89,2.55,9,4,1,3,36.4586196,13.618055,5.2116646,8.4063904,0.302491103,0.205298013,1.192052979,2.375298335,1.15,3.44,1.04,1.207281481,2.438888889,22.41481481,11.48148148,6.562962963,10.05925926,5.481481481,0.311111111
Ba3Y0.6Lu0.4Al2O7.5Ce0.03,Ba3Y0.6Lu0.4Al2O7.5,Ce,3,0.03,298,489,375,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,0.555555556,0.02962963,0.525925926,187,71,8,63,444.1807886,174.967,15.9994,158.9676,7.55,2.15,0.6,1.55,8.43,3.44,0.89,2.55,9,4,1,3,36.4586196,13.618055,5.2116646,8.4063904,0.302491103,0.205298013,1.192052979,2.375298335,1.15,3.44,1.04,1.206992593,2.439259259,22.65185185,11.48148148,6.577777778,10.1037037,5.555555556,0.414814815
Ba3Y0.5Lu0.5Al2O7.5Ce0.03,Ba3Y0.5Lu0.5Al2O7.5,Ce,3,0.03,298,493,375,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,0.555555556,0.037037037,0.518518519,187,71,8,63,444.1807886,174.967,15.9994,158.9676,7.55,2.15,0.6,1.55,8.43,3.44,0.89,2.55,9,4,1,3,36.4586196,13.618055,5.2116646,8.4063904,0.302491103,0.205298013,1.192052979,2.375298335,1.15,3.44,1.04,1.206703704,2.43962963,22.88888889,11.48148148,6.592592593,10.14814815,5.62962963,0.518518519
Ca11Si4O22B2Eu0.005,Ca11Si4O22B2,Eu,2,0.005,298,502,365,https://doi.org/10.1039/C3TC30933A,,,0.564102564,0.051282051,0.512820513,47,20,5,15,94.9739,40.078,10.811,29.267,4.35,1.8,0.6,1.2,8.38,3.44,1,2.44,9,4,1,3,36.18090947,13.618055,6.11315547,7.50489953,0.291169451,0.275862068,2.068965512,2.020721276,1.31,3.44,1.14,1.108717949,2.522051282,11.84615385,11.69230769,5.333333333,6.512820513,0,0
Ca11Si4O22B2Ce0.02,Ca11Si4O22B2,Ce,3,0.02,298,430,353,https://doi.org/10.1039/C3TC30933A,,,0.564102564,0.051282051,0.512820513,47,20,5,15,94.9739,40.078,10.811,29.267,4.35,1.8,0.6,1.2,8.38,3.44,1,2.44,9,4,1,3,36.18090947,13.618055,6.11315547,7.50489953,0.291169451,0.275862068,2.068965512,2.020721276,1.15,3.44,1.14,1.108717949,2.522051282,11.84615385,11.69230769,5.333333333,6.512820513,0,0
Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,298,615,393.5,https://doi.org/10.3390/ma12193275,mp-1197894, icsd-426593,0.615858353,0.076212471,0.539645881,185,83,8,75,437.361362,208.9804,15.9994,192.981,7,2.35,0.6,1.75,10.63,3.44,0.82,2.62,16,5,1,4,42.6598151,13.618055,4.1771281,9.4409269,0.246472248,0.25,2.285714282,2.36411547,1.087,2.815,1.035,1.212444188,2.733625866,21.33718245,12.76751347,5.918398768,9.371054657,4.980754426,1.066974596
Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,300,615,393.5,https://doi.org/10.3390/ma12193275,mp-1197894, icsd-426593,0.615858353,0.076212471,0.539645881,185,83,8,75,437.361362,208.9804,15.9994,192.981,7,2.35,0.6,1.75,10.63,3.44,0.82,2.62,16,5,1,4,42.6598151,13.618055,4.1771281,9.4409269,0.246472248,0.25,2.285714282,2.36411547,1.087,2.815,1.035,1.212444188,2.733625866,21.33718245,12.76751347,5.918398768,9.371054657,4.980754426,1.066974596
Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,350,615,393.5,https://doi.org/10.3390/ma12193275,mp-1197894, icsd-426593,0.615858353,0.076212471,0.539645881,185,83,8,75,437.361362,208.9804,15.9994,192.981,7,2.35,0.6,1.75,10.63,3.44,0.82,2.62,16,5,1,4,42.6598151,13.618055,4.1771281,9.4409269,0.246472248,0.25,2.285714282,2.36411547,1.087,2.815,1.035,1.212444188,2.733625866,21.33718245,12.76751347,5.918398768,9.371054657,4.980754426,1.066974596
Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,400,615,393.5,https://doi.org/10.3390/ma12193275,mp-1197894, icsd-426593,0.615858353,0.076212471,0.539645881,185,83,8,75,437.361362,208.9804,15.9994,192.981,7,2.35,0.6,1.75,10.63,3.44,0.82,2.62,16,5,1,4,42.6598151,13.618055,4.1771281,9.4409269,0.246472248,0.25,2.285714282,2.36411547,1.087,2.815,1.035,1.212444188,2.733625866,21.33718245,12.76751347,5.918398768,9.371054657,4.980754426,1.066974596
Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,450,615,393.5,https://doi.org/10.3390/ma12193275,mp-1197894, icsd-426593,0.615858353,0.076212471,0.539645881,185,83,8,75,437.361362,208.9804,15.9994,192.981,7,2.35,0.6,1.75,10.63,3.44,0.82,2.62,16,5,1,4,42.6598151,13.618055,4.1771281,9.4409269,0.246472248,0.25,2.285714282,2.36411547,1.087,2.815,1.035,1.212444188,2.733625866,21.33718245,12.76751347,5.918398768,9.371054657,4.980754426,1.066974596
Rb2Bi0.99PO8MoEu0.01,Rb2Bi0.99PO8Mo,Eu,3,0.01,500,615,393.5,https://doi.org/10.3390/ma12193275,mp-1197894, icsd-426593,0.615858353,0.076212471,0.539645881,185,83,8,75,437.361362,208.9804,15.9994,192.981,7,2.35,0.6,1.75,10.63,3.44,0.82,2.62,16,5,1,4,42.6598151,13.618055,4.1771281,9.4409269,0.246472248,0.25,2.285714282,2.36411547,1.087,2.815,1.035,1.212444188,2.733625866,21.33718245,12.76751347,5.918398768,9.371054657,4.980754426,1.066974596
Rb2Bi0.95PO8MoEu0.05,Rb2Bi0.95PO8Mo,Eu,3,0.05,298,615,393.5,https://doi.org/10.3390/ma12193275,mp-1197894, icsd-426593,0.617760618,0.073359073,0.544401544,185,83,8,75,437.361362,208.9804,15.9994,192.981,7,2.35,0.6,1.75,10.63,3.44,0.82,2.62,16,5,1,4,42.6598151,13.618055,4.1771281,9.4409269,0.246472248,0.25,2.285714282,2.36411547,1.087,2.815,1.035,1.212992278,2.735830116,21.14671815,12.76061776,5.8996139,9.316602317,4.903474903,1.027027027
Rb2Bi0.9PO8MoEu0.1,Rb2Bi0.9PO8Mo,Eu,3,0.1,298,615,393.5,https://doi.org/10.3390/ma12193275,mp-1197894, icsd-426593,0.620155039,0.069767442,0.550387597,185,83,8,75,437.361362,208.9804,15.9994,192.981,7,2.35,0.6,1.75,10.63,3.44,0.82,2.62,16,5,1,4,42.6598151,13.618055,4.1771281,9.4409269,0.246472248,0.25,2.285714282,2.36411547,1.087,2.815,1.035,1.213682171,2.738604651,20.90697674,12.75193798,5.875968992,9.248062016,4.80620155,0.976744186
